Course Code,Course Name,Section,Day,Start_Hour,End_Hour,Lecturer,Room
BCI1103,COMPUTER PROGRAMMING,01A,Wednesday,12,14,Dr. Ahmad Faiz,FKPPT-L-01B
BCI1103,COMPUTER PROGRAMMING,01B,Monday,12,14,Prof. Dr. Nor Aziah,FKPPT-L-01B
BCI1103,COMPUTER PROGRAMMING,02B,Thursday,12,14,Ts. Dr. Mohd Hassan,W-DK-13
BCI1103,COMPUTER PROGRAMMING,03A,Wednesday,12,14,Dr. Siti Aminah,FKPPT-L-01B
BCI1103,COMPUTER PROGRAMMING,04B,Thursday,12,14,Ts. Imran Hazim,W-DK-13
BCI1103,COMPUTER PROGRAMMING,05A,Thursday,8,10,Dr. Nelson Samuel,ET-L-02
BCU1023,PROGRAMMING TECHNIQUES,01G,Wednesday,8,10,Dr. Ismail Ibrahim,Y-DK-04
BCU1023,PROGRAMMING TECHNIQUES,02G,Tuesday,14,16,Ts. Amran Zakaria,ET-L-01
BCU2013,DATA STRUCTURE & ALGORITHMS,01,Friday,9,11,Prof. Daud Mansur,Y-DK-04
BCI1023,PROGRAMMING TECHNIQUES,01,Monday,10,12,Dr. Haziq Farhan,BZ-01-120
BCI1023,PROGRAMMING TECHNIQUES,01A,Friday,10,12,Ms. Sarah Collins,BZ-04-085
BCI1143,PROBLEM SOLVING,01,Monday,14,16,Ts. Zaki Anwar,BZ-04-085
BCN1083,DATA COMMUNICATION & NETWORKING,01,Tuesday,8,10,Dr. Norashikin Jamil,BZ-02-104
BCN2053,OPERATING SYSTEMS,01,Tuesday,10,12,Ts. Aziman Mad Arif,BZ-03-083
BCS1033,SOFTWARE ENGINEERING,01,Wednesday,10,12,Dr. Roslinah Aris,BZ-01-092
BCS1133,SYSTEMS ANALYSIS & DESIGN,01A,Tuesday,16,18,Ts. Fariduddin Bakri,BZ-01-092
BCI2023,DATABASE SYSTEMS,02,Thursday,10,12,Dr. Muhammad Ikhwan,BZ-01-112
BCN1053,DATA COMMUNICATION & NETWORKING,01,Wednesday,10,12,Ts. Nur Sarihah,BZ-01-124
BCN2083,COMPUTER NETWORKS,01,Thursday,14,16,Dr. Ahmad Shah,BZ-02-059
BCN2113,COMPUTER NETWORKS,01A,Tuesday,14,16,Prof. Daud Mansur,BZ-01-121
BCN2203,NETWORK TECHNOLOGIES,02,Thursday,16,18,Ts. Zaki Anwar,BZ-02-059
BCN3213,NETWORK PROGRAMMING,01,Monday,14,16,Dr. Ismail Ibrahim,BZ-02-059
BCS2143,OBJECT ORIENTED PROGRAMMING,01,Monday,14,16,Dr. Intan Azwani,BZ-02-090
BCS2143,OBJECT ORIENTED PROGRAMMING,01A,Monday,16,18,Dr. Intan Azwani,BZ-02-090
BCS2213,FORMAL METHOD,02,Tuesday,14,16,Ts. Kamaruddin Ali,BZ-02-090
BCS2233,SOFTWARE REQUIREMENT WORKSHOP,02A,Tuesday,16,18,Ms. Zara Hussain,BZ-02-090
BCS2313,ARTIFICIAL INTELLIGENCE TECHNIQUES,01,Monday,14,16,Dr. Faizah Bakar,BZ-02-096
BCS2343,SOFTWARE DESIGN WORKSHOP,01,Monday,10,12,Ts. Syahmi Roslan,BZ-02-096
BCI2313,ALGORITHM & COMPLEXITY,01A,Tuesday,8,10,Dr. Norashikin Jamil,BZ-03-083
BCI2313,ALGORITHM & COMPLEXITY,01B,Tuesday,10,12,Dr. Norashikin Jamil,BZ-03-083
BCM2073,MODELING & SIMULATION,02,Thursday,10,12,Ts. Imran Hazim,BZ-02-096
BCM3013,VIRTUAL REALITY,01,Wednesday,8,10,Dr. Ahmad Faiz,BZ-01-127
BCN2023,DATA & NETWORK SECURITY,01A,Thursday,14,16,Ts. Amran Zakaria,BZ-03-051
BCN2093,NETWORK ANALYSIS & DESIGN,01B,Thursday,10,12,Dr. Nelson Samuel,BZ-03-051
BCN3023,NETWORK MANAGEMENT,02,Monday,8,10,En. Haziq Farhan,BZ-01-121
